[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Run ParseTemplate Behavior [ RunTime:0.021612s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021715s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Run ContentReplace Behavior [ RunTime:0.000785s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Run TokenBuild Behavior [ RunTime:0.000732s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000460s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Run ShowRuntime Behavior [ RunTime:0.001178s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003413s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Run ShowPageTrace Behavior [ RunTime:0.004714s ]
[ 2012-03-25T00:06:00+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --END-- [ RunTime:0.004828s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run CheckRoute Behavior [ RunTime:0.001255s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --END-- [ RunTime:0.001395s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000876s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001054s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.004449s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | SQL: SELECT * FROM `books` WHERE ( `bookAuthorId` = '22' )  [ RunTime:0.004027s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run LocationTemplate Behavior [ RunTime:0.001842s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --END-- [ RunTime:0.001939s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run ParseTemplate Behavior [ RunTime:0.020926s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021031s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run ContentReplace Behavior [ RunTime:0.000794s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run TokenBuild Behavior [ RunTime:0.000740s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000465s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run ShowRuntime Behavior [ RunTime:0.001166s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003432s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Run ShowPageTrace Behavior [ RunTime:0.005085s ]
[ 2012-03-25T00:06:06+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --END-- [ RunTime:0.005192s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run CheckRoute Behavior [ RunTime:0.001277s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --END-- [ RunTime:0.001446s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000860s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000957s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.003982s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | SQL: SELECT * FROM `books` WHERE ( `bookAuthorId` = '22' )  [ RunTime:0.003968s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run LocationTemplate Behavior [ RunTime:0.002422s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --END-- [ RunTime:0.002546s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run ParseTemplate Behavior [ RunTime:0.022039s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022146s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run ContentReplace Behavior [ RunTime:0.000742s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run TokenBuild Behavior [ RunTime:0.000706s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000462s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run ShowRuntime Behavior [ RunTime:0.001145s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003327s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Run ShowPageTrace Behavior [ RunTime:0.005056s ]
[ 2012-03-25T00:06:07+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --END-- [ RunTime:0.005161s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000881s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001037s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001784s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001892s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021525s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021632s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run ContentReplace Behavior [ RunTime:0.000709s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run TokenBuild Behavior [ RunTime:0.000711s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000466s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001403s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003540s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004732s ]
[ 2012-03-25T00:06:08+08:00 ] /www/read/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004841s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run CheckRoute Behavior [ RunTime:0.001886s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --END-- [ RunTime:0.002027s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001474s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001576s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.006956s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | SQL: SELECT * FROM `books` WHERE ( `bookAuthorId` = '22' )  [ RunTime:0.004055s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run LocationTemplate Behavior [ RunTime:0.002495s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --END-- [ RunTime:0.002593s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run ParseTemplate Behavior [ RunTime:0.024119s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024223s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run ContentReplace Behavior [ RunTime:0.001436s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run TokenBuild Behavior [ RunTime:0.001419s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001154s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run ShowRuntime Behavior [ RunTime:0.001789s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006070s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Run ShowPageTrace Behavior [ RunTime:0.005222s ]
[ 2012-03-25T00:18:29+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --END-- [ RunTime:0.005328s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run CheckRoute Behavior [ RunTime:0.001219s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ route_check ] --END-- [ RunTime:0.001358s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000924s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001024s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.004563s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | SQL: SELECT * FROM `books` WHERE ( `bookAuthorId` = '22' )  [ RunTime:0.003846s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run LocationTemplate Behavior [ RunTime:0.001792s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_template ] --END-- [ RunTime:0.001897s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run ParseTemplate Behavior [ RunTime:0.019860s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019964s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run ContentReplace Behavior [ RunTime:0.000786s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run TokenBuild Behavior [ RunTime:0.000654s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000437s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run ShowRuntime Behavior [ RunTime:0.001131s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003268s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Run ShowPageTrace Behavior [ RunTime:0.004352s ]
[ 2012-03-25T00:18:33+08:00 ] /www/read/Author/novel_List | INFO: Tag[ view_end ] --END-- [ RunTime:0.004474s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run CheckRoute Behavior [ RunTime:0.001227s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --END-- [ RunTime:0.001368s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000956s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001105s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.004173s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | SQL: SELECT * FROM `books` WHERE ( `bookAuthorId` = '22' )  [ RunTime:0.004271s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run LocationTemplate Behavior [ RunTime:0.001761s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --END-- [ RunTime:0.001861s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run ParseTemplate Behavior [ RunTime:0.020385s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020489s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run ContentReplace Behavior [ RunTime:0.000624s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run TokenBuild Behavior [ RunTime:0.000655s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000432s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run ShowRuntime Behavior [ RunTime:0.001155s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003126s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Run ShowPageTrace Behavior [ RunTime:0.004497s ]
[ 2012-03-25T00:18:34+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_end ] --END-- [ RunTime:0.004601s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.001403s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001547s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000905s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001006s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | SQL: SHOW COLUMNS FROM `bookclass` [ RunTime:0.004516s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | SQL: SELECT * FROM `bookclass`  [ RunTime:0.003896s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run LocationTemplate Behavior [ RunTime:0.001598s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001698s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run ParseTemplate Behavior [ RunTime:0.020451s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020558s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run ContentReplace Behavior [ RunTime:0.000756s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run TokenBuild Behavior [ RunTime:0.000724s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000458s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowRuntime Behavior [ RunTime:0.001114s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003308s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --START--
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowPageTrace Behavior [ RunTime:0.004411s ]
[ 2012-03-25T00:18:35+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --END-- [ RunTime:0.004515s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/Author | INFO: Tag[ route_check ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/Author | INFO: Run CheckRoute Behavior [ RunTime:0.007885s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/Author | INFO: Tag[ route_check ] --END-- [ RunTime:0.008046s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/Author | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/Author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007144s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/Author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007301s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run CheckRoute Behavior [ RunTime:0.001261s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001408s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000845s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000951s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run LocationTemplate Behavior [ RunTime:0.006328s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.006429s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run ParseTemplate Behavior [ RunTime:0.062386s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.062556s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run ContentReplace Behavior [ RunTime:0.005621s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run TokenBuild Behavior [ RunTime:0.006167s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004269s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run ShowRuntime Behavior [ RunTime:0.005954s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022292s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --START--
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.010414s ]
[ 2012-03-25T09:59:13+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.010524s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001511s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002239s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.001920s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002064s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000854s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000957s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.034629s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.034839s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.194818s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.195075s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.003348s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.003961s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003355s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.002804s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014057s ]
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-03-25T10:28:07+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.004540s ]
